iter	Logloss
0	0.6332397226
1	0.5703783247
2	0.5227068232
3	0.4858686655
4	0.4541415302
5	0.4254936328
6	0.3976426873
7	0.3721973835
8	0.3509418938
9	0.3313139708
10	0.3148349759
11	0.3003037957
12	0.2861445964
13	0.2793424532
14	0.2683324259
15	0.2595539652
16	0.2519025368
17	0.2424915546
18	0.2368350203
19	0.233726529
20	0.2297289163
21	0.2267156719
22	0.2219989223
23	0.2180649201
24	0.2152034029
25	0.2116404434
26	0.2082304494
27	0.2050035937
28	0.20219805
29	0.1999274352
30	0.197763795
31	0.1960040347
32	0.1933855135
33	0.1912951661
34	0.1892489333
35	0.1878849657
36	0.1859152344
37	0.1844866431
38	0.1832141508
39	0.1809414908
40	0.1797069022
41	0.1782439911
42	0.1773996973
43	0.1763905039
44	0.1757122354
45	0.17511424
46	0.1736196926
47	0.1723857044
48	0.1716764188
49	0.1705930506
50	0.1699221377
51	0.1696309741
52	0.1691163479
53	0.1680086989
54	0.1676415404
55	0.166909719
56	0.166203717
57	0.1658102699
58	0.1651656831
59	0.1646990933
60	0.164393575
61	0.1639836342
62	0.1636113155
63	0.1634005188
64	0.1631398657
65	0.1623337757
66	0.1617163782
67	0.1614190599
68	0.1607376766
69	0.1604014602
70	0.1602323762
71	0.1599125597
72	0.1595445005
73	0.158903554
74	0.1583753426
75	0.1582364877
76	0.1581338289
77	0.1578881872
78	0.1576649123
79	0.1573572925
80	0.1568869029
81	0.1566068476
82	0.156558042
83	0.1561624276
84	0.155947212
85	0.1555706807
86	0.1552018897
87	0.1550926541
88	0.1548568354
89	0.1546529814
90	0.1543548188
91	0.1541372388
92	0.153963295
93	0.1538597636
94	0.1537277765
95	0.153393596
96	0.1533478864
97	0.1532261164
98	0.1529243885
99	0.1528581979
100	0.1527849332
101	0.1526906057
102	0.152560767
103	0.1524567385
104	0.1523293766
105	0.1517917738
106	0.1516891525
107	0.1515981181
108	0.1513251933
109	0.1512325077
110	0.151180362
111	0.1510986722
112	0.1510157533
113	0.1509052793
114	0.1508464067
115	0.1505467898
116	0.1503132228
117	0.1502354828
118	0.1501142194
119	0.1500389094
120	0.1499036948
121	0.149832222
122	0.1496901116
123	0.1496638324
124	0.1495599727
125	0.1494703362
126	0.1492794952
127	0.1490655086
128	0.1488637094
129	0.1485899307
130	0.1484984179
131	0.1481916518
132	0.1480692062
133	0.1480169293
134	0.147793842
135	0.1476640221
136	0.1475438001
137	0.1473577815
138	0.1471704588
139	0.1470765441
140	0.1468873543
141	0.1468290541
142	0.1467950721
143	0.1466893736
144	0.1465692641
145	0.1464991049
146	0.1464306438
147	0.1462717207
148	0.1461978367
149	0.1461350706
150	0.1459388067
151	0.1458235384
152	0.145683295
153	0.1456601119
154	0.1456248353
155	0.1455885172
156	0.1455113495
157	0.1454008286
158	0.1453092688
159	0.1452720595
160	0.1451297989
161	0.1451195255
162	0.1448713412
163	0.1447805414
164	0.1445196068
165	0.1444355246
166	0.1444340704
167	0.144352343
168	0.1443040722
169	0.1441662963
170	0.1440432877
171	0.1438175548
172	0.1435572676
173	0.1433918145
174	0.1433658261
175	0.1433092709
176	0.1432692188
177	0.1431634639
178	0.1431024428
179	0.1430376502
180	0.142983037
181	0.1429297749
182	0.1429176439
183	0.1428341715
184	0.1427470025
185	0.1425676452
186	0.1425416193
187	0.142479341
188	0.1424340443
189	0.1422910989
190	0.1422055999
191	0.1421658386
192	0.142026252
193	0.1419632419
194	0.1419510639
195	0.1418809141
196	0.1415362913
197	0.141391066
198	0.1413073215
199	0.1411849416
200	0.1411463156
201	0.1409503613
202	0.1409097838
203	0.1408040852
204	0.1406454342
205	0.1405331681
206	0.1404895602
207	0.1402639304
208	0.1401927298
209	0.1401459695
210	0.1400868999
211	0.1400694867
212	0.1399807322
213	0.1399487581
214	0.1398418867
215	0.1398210866
216	0.1398068634
217	0.1397610882
218	0.1397103593
219	0.1397008083
220	0.1396401813
221	0.1395382543
222	0.1394460378
223	0.1393948679
224	0.1393170153
225	0.1392489671
226	0.139204177
227	0.1391767156
228	0.1391469463
229	0.139057535
230	0.1390110186
231	0.1389389454
232	0.1388873064
233	0.1388577341
234	0.1388095759
235	0.1387037459
236	0.1386682535
237	0.1385865637
238	0.1385058309
239	0.1384918797
240	0.1383791821
241	0.1383546385
242	0.1383131603
243	0.1382228484
244	0.1381966161
245	0.1381384378
246	0.1380475441
247	0.1379801338
248	0.1378092579
249	0.1377683802
250	0.137749297
251	0.1376897677
252	0.1376412435
253	0.1376004971
254	0.1375588782
255	0.1375577617
256	0.137534466
257	0.1375061321
258	0.1373759838
259	0.1372912073
260	0.1372093486
261	0.1371471173
262	0.1370685986
263	0.1370514106
