iter	Passed	Remaining
0	136	102993
1	271	102636
2	411	103499
3	538	101358
4	670	100817
5	805	100765
6	949	101717
7	1089	102039
8	1227	101985
9	1366	102100
10	1503	101950
11	1643	102047
12	1778	101757
13	1922	102049
14	2062	102044
15	2205	102159
16	2348	102228
17	2488	102157
18	2632	102233
19	2756	101571
20	2894	101434
21	3029	101200
22	3166	101058
23	3297	100726
24	3433	100544
25	3579	100629
26	3724	100705
27	3869	100754
28	4009	100658
29	4154	100688
30	4291	100506
31	4418	100106
32	4555	99935
33	4698	99911
34	4831	99666
35	4970	99542
36	5072	98699
37	5201	98418
38	5339	98304
39	5480	98238
40	5617	98098
41	5758	98024
42	5893	97857
43	6025	97640
44	6164	97543
45	6288	97205
46	6432	97170
47	6574	97108
48	6709	96946
49	6848	96833
50	6976	96572
51	7031	95329
52	7164	95169
53	7305	95110
54	7434	94896
55	7585	94956
56	7739	95040
57	7887	95061
58	8039	95114
59	8180	95029
60	8312	94839
61	8447	94696
62	8585	94572
63	8722	94447
64	8849	94213
65	9003	94262
66	9143	94168
67	9280	94037
68	9449	94224
69	9601	94230
70	9726	93972
71	9864	93846
72	9999	93691
73	10137	93570
74	10293	93600
75	10443	93582
76	10580	93439
77	10714	93274
78	10856	93171
79	10994	93044
80	11138	92958
81	11293	92967
82	11434	92849
83	11573	92722
84	11715	92620
85	11861	92550
86	12081	93039
87	12233	93001
88	12378	92907
89	12518	92778
90	12670	92728
91	12807	92573
92	12942	92404
93	13076	92233
94	13209	92048
95	13335	91821
96	13473	91677
97	13603	91477
98	13752	91408
99	13883	91212
100	14019	91055
101	14145	90833
102	14278	90662
103	14408	90468
104	14534	90250
105	14667	90077
106	14792	89860
107	14922	89674
108	15072	89607
109	15237	89626
110	15384	89535
111	15480	89149
112	15626	89054
113	15779	89004
114	15872	88610
115	16114	89045
116	16300	89165
117	16469	89186
118	16643	89230
119	16807	89220
120	16961	89152
121	17126	89141
122	17293	89139
123	17451	89087
124	17659	89284
125	17889	89589
126	18098	89780
127	18312	89989
